year,value
1965,3.20999E+11
1966,3.30947E+11
1967,3.49473E+11
1968,3.59546E+11
1969,3.72007E+11
1970,3.91668E+11
1971,4.27344E+11
1972,4.58606E+11
1973,4.73675E+11
1974,5.09659E+11
1975,6.0049E+11
1976,6.69207E+11
1977,7.37951E+11
1978,7.96792E+11
1979,8.63451E+11
1980,9.64531E+11
1981,1.0613E+12
1982,1.24449E+12
1983,1.46374E+12
1984,1.71073E+12
1985,1.98682E+12
1986,2.24672E+12
1987,2.48755E+12
1988,2.7409E+12
1989,3.05196E+12
1990,3.46519E+12
1991,3.88129E+12
1992,4.23058E+12
1993,4.57587E+12
1994,4.86412E+12
1995,5.11779E+12
1996,5.38089E+12
1997,5.54243E+12
1998,5.65162E+12
1999,5.77339E+12
2000,5.77374E+12
2001,6.00603E+12
2002,6.46078E+12
2003,7.13107E+12
2004,7.77694E+12
2005,8.37116E+12
2006,8.84967E+12
2007,9.43759E+12
2008,1.11269E+13
2009,1.27731E+13
2010,1.42701E+13
2011,1.56065E+13
2012,1.67714E+13
2013,1.76012E+13
2014,1.81521E+13
2015,1.92649E+13
2016,1.98464E+13
2017,2.10896E+13
2018,2.20279E+13
2019,2.32238E+13
2020,2.81326E+13
